TradeSummary(id=1139, instrument=GBP_USD, price=1.22456, openTime=2020-03-16T20:04:39.846835866Z, state=CLOSED, initialUnits=-540, initialMarginRequired=27.0000, currentUnits=0, realizedPL=1.8896, unrealizedPL=null, marginUsed=null, averageClosePrice=1.22029, closingTransactionIDs=[1317], financing=0.0049, closeTime=2020-03-17T07:58:10.927627008Z, clientExtensions=null, takeProfitOrderID=1140, stopLossOrderID=1141, trailingStopLossOrderID=null)
TradeSummary(id=1264, instrument=GBP_JPY, price=130.825, openTime=2020-03-17T01:26:32.084642221Z, state=CLOSED, initialUnits=580, initialMarginRequired=29.0000, currentUnits=0, realizedPL=-2.0734, unrealizedPL=null, marginUsed=null, averageClosePrice=130.359, closingTransactionIDs=[1324], financing=0.0000, closeTime=2020-03-17T07:58:36.511554405Z, clientExtensions=null, takeProfitOrderID=1321, stopLossOrderID=1266, trailingStopLossOrderID=null)
TradeSummary(id=1181, instrument=AUD_USD, price=0.61106, openTime=2020-03-16T22:01:56.540162054Z, state=CLOSED, initialUnits=-500, initialMarginRequired=12.4555, currentUnits=0, realizedPL=0.9094, unrealizedPL=null, marginUsed=null, averageClosePrice=0.60884, closingTransactionIDs=[1331], financing=0.0000, closeTime=2020-03-17T07:58:51.001075144Z, clientExtensions=null, takeProfitOrderID=1182, stopLossOrderID=1183, trailingStopLossOrderID=null)
TradeSummary(id=1121, instrument=NZD_CHF, price=0.57296, openTime=2020-03-16T19:49:30.081848538Z, state=CLOSED, initialUnits=500, initialMarginRequired=12.3260, currentUnits=0, realizedPL=0.5127, unrealizedPL=null, marginUsed=null, averageClosePrice=0.57415, closingTransactionIDs=[1339], financing=0.0136, closeTime=2020-03-17T07:59:08.891950237Z, clientExtensions=null, takeProfitOrderID=1122, stopLossOrderID=1123, trailingStopLossOrderID=null)
TradeSummary(id=1250, instrument=EUR_JPY, price=119.311, openTime=2020-03-17T01:26:30.375394279Z, state=CLOSED, initialUnits=660, initialMarginRequired=30.0963, currentUnits=0, realizedPL=-1.5645, unrealizedPL=null, marginUsed=null, averageClosePrice=119.002, closingTransactionIDs=[1342], financing=0.0000, closeTime=2020-03-17T07:59:35.874515830Z, clientExtensions=null, takeProfitOrderID=1327, stopLossOrderID=1252, trailingStopLossOrderID=null)
TradeSummary(id=1175, instrument=GBP_USD, price=1.22712, openTime=2020-03-16T21:02:17.820103945Z, state=CLOSED, initialUnits=910, initialMarginRequired=45.5000, currentUnits=0, realizedPL=-5.2808, unrealizedPL=null, marginUsed=null, averageClosePrice=1.22004, closingTransactionIDs=[1344], financing=0.0000, closeTime=2020-03-17T08:00:13.252614176Z, clientExtensions=null, takeProfitOrderID=1337, stopLossOrderID=1177, trailingStopLossOrderID=null)
TradeSummary(id=1159, instrument=NZD_USD, price=0.60435, openTime=2020-03-16T20:13:21.392677968Z, state=CLOSED, initialUnits=500, initialMarginRequired=12.3278, currentUnits=0, realizedPL=-0.1229, unrealizedPL=null, marginUsed=null, averageClosePrice=0.60405, closingTransactionIDs=[1346], financing=-0.0067, closeTime=2020-03-17T08:01:23.475556906Z, clientExtensions=null, takeProfitOrderID=1335, stopLossOrderID=1161, trailingStopLossOrderID=null)
TradeSummary(id=1219, instrument=AUD_USD, price=0.61195, openTime=2020-03-16T23:03:31.224052587Z, state=CLOSED, initialUnits=790, initialMarginRequired=19.6965, currentUnits=0, realizedPL=-1.9412, unrealizedPL=null, marginUsed=null, averageClosePrice=0.60895, closingTransactionIDs=[1348], financing=0.0000, closeTime=2020-03-17T08:02:00.284311471Z, clientExtensions=null, takeProfitOrderID=1329, stopLossOrderID=1221, trailingStopLossOrderID=null)
TradeSummary(id=1260, instrument=AUD_USD, price=0.61280, openTime=2020-03-17T01:26:31.661342647Z, state=CLOSED, initialUnits=750, initialMarginRequired=18.7676, currentUnits=0, realizedPL=-2.3405, unrealizedPL=null, marginUsed=null, averageClosePrice=0.60899, closingTransactionIDs=[1350], financing=0.0000, closeTime=2020-03-17T08:02:00.303754397Z, clientExtensions=null, takeProfitOrderID=1323, stopLossOrderID=1262, trailingStopLossOrderID=null)
TradeSummary(id=1083, instrument=EUR_USD, price=1.11695, openTime=2020-03-16T18:31:38.818777744Z, state=CLOSED, initialUnits=540, initialMarginRequired=24.6769, currentUnits=0, realizedPL=-1.4801, unrealizedPL=null, marginUsed=null, averageClosePrice=1.11360, closingTransactionIDs=[1353], financing=-0.0497, closeTime=2020-03-17T08:04:07.266275081Z, clientExtensions=null, takeProfitOrderID=1084, stopLossOrderID=1085, trailingStopLossOrderID=null)
TradeSummary(id=1131, instrument=EUR_USD, price=1.11694, openTime=2020-03-16T20:02:39.238631791Z, state=CLOSED, initialUnits=620, initialMarginRequired=28.2689, currentUnits=0, realizedPL=-1.6943, unrealizedPL=null, marginUsed=null, averageClosePrice=1.11360, closingTransactionIDs=[1353], financing=-0.0570, closeTime=2020-03-17T08:04:07.266275081Z, clientExtensions=null, takeProfitOrderID=1132, stopLossOrderID=1133, trailingStopLossOrderID=null)
TradeSummary(id=1241, instrument=EUR_USD, price=1.11635, openTime=2020-03-17T00:03:08.231633441Z, state=CLOSED, initialUnits=500, initialMarginRequired=22.7540, currentUnits=0, realizedPL=-1.1250, unrealizedPL=null, marginUsed=null, averageClosePrice=1.11360, closingTransactionIDs=[1353], financing=0.0000, closeTime=2020-03-17T08:04:07.266275081Z, clientExtensions=null, takeProfitOrderID=1242, stopLossOrderID=1243, trailingStopLossOrderID=null)
TradeSummary(id=1135, instrument=EUR_JPY, price=118.361, openTime=2020-03-16T20:03:39.293909988Z, state=CLOSED, initialUnits=-500, initialMarginRequired=22.7980, currentUnits=0, realizedPL=-3.1166, unrealizedPL=null, marginUsed=null, averageClosePrice=119.176, closingTransactionIDs=[1361], financing=-0.0337, closeTime=2020-03-17T08:04:09.974923986Z, clientExtensions=null, takeProfitOrderID=1136, stopLossOrderID=1137, trailingStopLossOrderID=null)
